110101001001# 多福巷社区居委会
110101001002# 银闸社区居委会
110101001005# 东厂社区居委会
110101001006# 智德社区居委会
110101001007# 南池子社区居委会
110101001008# 黄图岗社区居委会
110101001009# 灯市口社区居委会
110101001010# 正义路社区居委会
110101001011# 甘雨社区居委会
110101001013# 台基厂社区居委会
110101001014# 韶九社区居委会
110101001015# 王府井社区居委会
110101002001# 隆福寺社区居委会
110101002002# 吉祥社区居委会
110101002003# 黄化门社区居委会
110101002004# 钟鼓社区居委会
110101002005# 魏家社区居委会
110101002006# 汪芝麻社区居委会
110101002008# 景山东街社区居委会
110101002009# 皇城根北街社区居委会
110101003001# 交东社区居委会
110101003002# 福祥社区居委会
110101003003# 大兴社区居委会
110101003005# 府学社区居委会
110101003007# 鼓楼苑社区居委会
110101003008# 菊儿社区居委会
110101003009# 南锣鼓巷社区居委会
110101004001# 交北头条社区居委会
110101004002# 北锣鼓巷社区居委会
110101004003# 国子监社区居委会
110101004004# 钟楼湾社区居委会
110101004005# 宝钞南社区居委会
110101004006# 五道营社区居委会
110101004009# 分司厅社区居委会
110101004011# 国旺社区居委会
110101004012# 花园社区居委会
110101005001# 海运仓社区居委会
110101005002# 北新仓社区居委会
110101005004# 门楼社区居委会
110101005005# 十三条社区居委会
110101005006# 民安社区居委会
110101005008# 九道湾社区居委会
110101005009# 北官厅社区居委会
110101005010# 青龙社区居委会
110101005011# 小菊社区居委会
110101005012# 藏经馆社区居委会
110101005014# 草园社区居委会
110101005016# 前永康社区居委会
110101006001# 南门仓社区居委会
110101006002# 七条社区居委会
110101006003# 二条社区居委会
110101006006# 六条社区居委会
110101006007# 豆瓣社区居委会
110101006008# 八条社区居委会
110101006009# 总院社区居委会
110101007001# 史家社区居委会
110101007002# 内务社区居委会
110101007003# 演乐社区居委会
110101007005# 礼士社区居委会
110101007006# 朝内头条社区居委会
110101007007# 朝西社区居委会
110101007009# 竹杆社区居委会
110101007011# 大方家社区居委会
110101007013# 新鲜社区居委会
110105001024# 南郎家园社区居委会
110105001025# 北郎家园社区居委会
110105001026# 永安里社区居委会
110105001027# 光华里社区居委会
110105001028# 建国里社区居委会
110105001029# 秀水社区居委会
110105001033# 北郎东社区居委会
110105001034# 永安里东社区居委会
110105002024# 体东社区居委会
110105002025# 吉庆里社区居委会
110105002026# 吉祥里社区居委会
110105002027# 三丰里社区居委会
110105002028# 雅宝里社区居委会
110105002029# 天福园社区居委会
110105002030# 芳草地社区居委会
110105003041# 金台里社区居委会
110105003042# 小庄社区居委会
110105003045# 关东店北街社区居委会
110105003046# 核桃园社区居委会
110105003047# 呼家楼北社区居委会
110105003048# 呼家楼南社区居委会
110105003049# 金台社区居委会
110105003050# 东大桥社区居委会
110105003051# 关东店社区居委会
110105003052# 新街社区居委会
110105018065# 磨房南里社区居委会
110105018066# 武圣东里社区居委会
110105018067# 松榆东里社区居委会
110105018068# 松榆里社区居委会
110105018069# 松榆西里社区居委会
110105018070# 武圣农光社区居委会
110105018071# 华威北里社区居委会
110105018072# 潘家园东里社区居委会
110105018073# 华威西里社区居委会
110105018074# 潘家园社区居委会
110105018075# 潘家园南里社区居委会
110105018076# 华威里社区居委会
